PsNo, DateTime, Cond, Order,FSQ,Condition,Block,Measure,Scenario,Scariness
37,29/11/2016 14:18,ACV,123,1.222222222,C,2,1,2,5
73,30/11/2016 12:11,ACV,123,4,C,2,1,2,4
109,09/12/2016 10:59,ACV,123,1.722222222,C,2,1,2,2
2,28/11/2016 11:27,ACV,132,2.666666667,C,2,1,3,10
38,29/11/2016 14:38,ACV,132,3.888888889,C,2,1,3,7
74,30/11/2016 12:53,ACV,132,5.666666667,C,2,1,3,10
110,09/12/2016 10:06,ACV,132,3.055555556,C,2,1,3,6
3,28/11/2016 10:44,ACV,213,2.055555556,C,2,1,1,6
39,29/11/2016 14:28,ACV,213,1.555555556,C,2,1,1,1
75,30/11/2016 14:12,ACV,213,5.666666667,C,2,1,1,8
111,09/12/2016 09:56,ACV,213,1.166666667,C,2,1,1,3
4,28/11/2016 11:22,ACV,231,1.611111111,C,2,1,3,5
40,29/11/2016 14:40,ACV,231,4.944444444,C,2,1,3,9
76,30/11/2016 11:51,ACV,231,1.611111111,C,2,1,3,8
112,09/12/2016 11:11,ACV,231,3.333333333,C,2,1,3,1
5,28/11/2016 10:25,ACV,312,4.944444444,C,2,1,1,6
6,28/11/2016 11:03,ACV,312,3.833333333,C,2,1,1,9
41,29/11/2016 14:33,ACV,312,1.944444444,C,2,1,1,4
77,30/11/2016 12:49,ACV,312,3.111111111,C,2,1,1,5
113,09/12/2016 09:02,ACV,312,6.388888889,C,2,1,1,10
42,29/11/2016 14:33,ACV,321,2.944444444,C,2,1,2,8
78,30/11/2016 14:03,ACV,321,2.166666667,C,2,1,2,2
114,09/12/2016 09:10,ACV,321,5.666666667,C,2,1,2,8
7,28/11/2016 10:45,AVC,123,2.722222222,C,3,1,3,8
43,29/11/2016 15:35,AVC,123,4.277777778,C,3,1,3,10
79,30/11/2016 12:58,AVC,123,3.944444444,C,3,1,3,8
115,09/12/2016 09:59,AVC,123,1,C,3,1,3,1
8,28/11/2016 10:51,AVC,132,2.777777778,C,3,1,2,2
44,29/11/2016 14:37,AVC,132,4.777777778,C,3,1,2,8
80,30/11/2016 12:45,AVC,132,4.888888889,C,3,1,2,7
116,09/12/2016 12:44,AVC,132,3.611111111,C,3,1,2,7
9,28/11/2016 10:50,AVC,213,2.222222222,C,3,1,3,3
45,29/11/2016 14:56,AVC,213,1.055555556,C,3,1,3,3
81,30/11/2016 12:56,AVC,213,4,C,3,1,3,10
117,09/12/2016 10:55,AVC,213,3.555555556,C,3,1,3,5
10,28/11/2016 11:31,AVC,231,2.222222222,C,3,1,1,1
82,30/11/2016 12:58,AVC,231,1.055555556,C,3,1,1,0
118,09/12/2016 10:45,AVC,231,2.388888889,C,3,1,1,1
11,28/11/2016 11:29,AVC,312,2.722222222,C,3,1,2,1
47,29/11/2016 14:56,AVC,312,5.055555556,C,3,1,2,10
83,30/11/2016 12:57,AVC,312,4.333333333,C,3,1,2,8
119,09/12/2016 11:56,AVC,312,1.166666667,C,3,1,2,2
12,28/11/2016 15:41,AVC,321,2.444444444,C,3,1,1,4
48,29/11/2016 15:00,AVC,321,1.277777778,C,3,1,1,1
84,30/11/2016 12:51,AVC,321,2.055555556,C,3,1,1,3
